名称,评分,评价人数,导演,主演,上映日期,类型,简介
飞屋环游记,9.1,1434813,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,2009,剧情 喜剧 动画 冒险,最后那些最无聊的事情，才是最值得怀念的。 
让子弹飞,9.0,1843141,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,剧情 喜剧 动作 西部,你给我翻译翻译，神马叫做TMD的惊喜。
哈尔的移动城堡,9.1,1215367,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,2004,爱情 动画 奇幻 冒险,带着心爱的人在天空飞翔。
素媛,9.3,745294,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
十二怒汉,9.4,547219,Sidney Lumet,亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957,剧情,1957年的理想主义。 
海蒂和爷爷,9.3,720372,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /...,2015,剧情 冒险 家庭,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
猫鼠游戏,9.1,1143394,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,2002,传记 犯罪 剧情,骗子大师和执著警探的你追我跑故事。 
天空之城,9.2,964113,宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,动画 奇幻 冒险,对天空的追逐，永不停止。 
摔跤吧！爸爸,9.0,1681375,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan / 法缇玛...,2016,剧情 传记 运动 家庭,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
鬼子来了,9.3,682677,姜文 Wen Jiang,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,剧情 喜剧,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流,9.1,1439608,李安 Ang Lee,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,剧情 奇幻 冒险,瑰丽壮观、无人能及的冒险之旅。
钢琴家,9.3,710882,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,2002,剧情 传记 战争 音乐,暂无简介
指环王2：双塔奇兵,9.2,819944,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2002,剧情 动作 奇幻 冒险,承前启后的史诗篇章。
大话西游之月光宝盒,9.0,1311207,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,喜剧 爱情 奇幻 古装,暂无简介
死亡诗社,9.2,822796,彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,剧情,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
何以为家,9.1,1124727,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ...,2018,剧情,凝视卑弱生命，用电影改变命运。
闻香识女人,9.1,976496,马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino / 克里斯...,1992,剧情,暂无简介
绿皮书,8.9,1804117,彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen /...,2018,剧情 喜剧 传记 音乐,去除成见，需要勇气。
大闹天宫,9.4,484496,万籁鸣 Laiming Wan,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆),剧情 动画 奇幻 古装,暂无简介
黑客帝国,9.1,906881,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,暂无主演信息,1999,动作 科幻,暂无简介
罗马假日,9.1,1011641,威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn / 格...,1953,喜剧 剧情 爱情,暂无简介
指环王1：护戒使者,9.1,919269,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2001,剧情 动作 奇幻 冒险,暂无简介
教父2,9.3,606670,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1974,剧情 犯罪,暂无简介
狮子王,9.1,920109,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,1994,动画 冒险 歌舞,暂无简介
天堂电影院,9.2,718524,朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp...,1988,剧情 爱情,暂无简介
辩护人,9.2,636900,杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,剧情,电影的现实意义大过电影本身。
饮食男女,9.2,682899,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,剧情 家庭,暂无简介
搏击俱乐部,9.0,922959,大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,1999,剧情 动作 悬疑 惊悚,暂无简介
本杰明·巴顿奇事,9.0,1061335,大卫·芬奇 David Fincher,凯特·布兰切特 Cate Blanchett / ...,2008,剧情 爱情 奇幻,在时间之河里感受溺水之苦。
美丽心灵,9.1,825856,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,2001,传记 剧情,暂无简介
穿条纹睡衣的男孩,9.2,616382,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,2008,剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书,8.9,1240515,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,剧情 爱情,暂无简介
窃听风暴,9.2,610158,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,暂无主演信息,2006,剧情 悬疑,别样人生。
两杆大烟枪,9.1,647739,盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,剧情 喜剧 犯罪,暂无简介
哈利·波特与死亡圣器(下),9.0,926039,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,奇幻 冒险,10年的完美句点。
